REST LAYER,DATA LAYER,PARENT LAYER,SOURCE,SOURCE URL,TOPICS,MAIN THEME,SubTheme,Raw Data Link,REST Endpoint,REST Array Number,REST Sublayer Array Numbers,source metadata url,local metadata url,Comments,Description,kml
"SAFMC Regulatory Boundaries","SAFMC Regulatory Boundaries","","South Atlantic Fishery Management Council","http://www.safmc.net/","Habitat","JurisdictionsandBoundaries","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","17","","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","","",""
"All Restrictions","All Restrictions","SAFMC Regulatory Boundaries","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","18","","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","","",""
"Bottom Longlines Restrictions","Bottom Longlines Restrictions","SAFMC Regulatory Boundaries","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","19","","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","","",""
"Black Sea Bass Pots Restrictions","Black Sea Bass Pots Restrictions","SAFMC Regulatory Boundaries","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","20","","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","","",""
"Sargassum Restrictions","Sargassum Restrictions","SAFMC Regulatory Boundaries","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","21","","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","","",""
"Fish Traps Restrictions","Fish Traps Restrictions","SAFMC Regulatory Boundaries","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","22","","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","","",""
"Roller Rig Trawls Restrictions","Roller Rig Trawls Restrictions","SAFMC Regulatory Boundaries","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","23","","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","","",""
"Octocoral Gear Restrictions","Octocoral Gear Restrictions","SAFMC Regulatory Boundaries","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","24","","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","","",""
"Recreational Fishing Seasons and Closures","Recreational Fishing Seasons and Closures","SAFMC Regulatory Boundaries","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","25","","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","","",""
"Commercial Fishing Seasons and Closures","Commercial Fishing Seasons and Closures","SAFMC Regulatory Boundaries","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","26","","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","","",""
