REST LAYER,DATA LAYER,PARENT LAYER,SOURCE,SOURCE URL,TOPICS,MAIN THEME,SubTheme,Raw Data Link,REST Endpoint,REST Array Number,REST Sublayer Array Numbers,source metadata url,local metadata url,Comments,kml,Attributes,Attributes Display Name,Hover Description,Description
SAFMC Restrictions,Fishery Restrictions,,South Atlantic Fishery Management Council,http://www.safmc.net/,Habitat,Jurisdictions and Boundaries,,http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,17,,,http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx,,,,,,
All Restrictions,All Restrictions,Fishery Restrictions,,,Habitat,Jurisdictions and Boundaries,,,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,18,,,http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx,,,"RESTRICT,AREA_MILE2","RESTRICT,AREA_MILE2",,
Bottom Longlines Restrictions,Bottom Longlines Restrictions,Fishery Restrictions,,,Habitat,Jurisdictions and Boundaries,,http://ocean.floridamarine.org/efh_coral/zip/BtmLngLine.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,19,,,http://ocean.floridamarine.org/efh_coral/ims/dbGroupTOC/metadata/bottom%20longlines.htm,,http://atoll.floridamarine.org/KMZ_files/Bounds%20--%20Bottom%20Longlines%20Prohibition%20-%20SE%20US.kmz,"RESTRICT,AREA_MILE2","Restrictions,Square Miles",Geographical represention of prohibitions on the use of bottom long lines within the Exclusive Economic Zone. Data provide by the South Atlantic Fishery Marine Council (SAFMC).,"The South Atlantic Fishery Management Council's (SAFMC) role is to develop fishery management plans needed to manage fishery resources within the Exclusive Economic Zone (EEZ) extending from state waters (three miles in the south Atlantic) to 200 nautical miles. The 1996 Sustainable Fisheries Act (SFA) was passed by Congress to protect marine fish stocks with requirements to prevent and stop overfishing, minimize bycatch, and protect habitat. This data set geographically represent prohibitions on the use of botton longlines within the SAFMC EEZ."
Black Sea Bass Pots Restrictions,Black Sea Bass Pot Restrictions,Fishery Restrictions,,,Habitat,Jurisdictions and Boundaries,,http://ocean.floridamarine.org/efh_coral/zip/BlkPots.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,20,,,http://ocean.floridamarine.org/efh_coral/metadata/black%20sea%20bass%20pots.htm,,http://atoll.floridamarine.org/KMZ_files/Bounds%20--%20Black%20Sea%20Bass%20Pots%20Prohibition%20-%20SE%20US.kmz,"RESTRICT,AREA_MILE2","Restrictions,Square Miles",Geographical represention of prohibitions on the use of black sea bass pots within the Exclusive Economic Zone. Data provide by the South Atlantic Fishery Marine Council (SAFMC).,"The South Atlantic Fishery Management Council's (SAFMC) role is to develop fishery management plans needed to manage fishery resources within the Exclusive Economic Zone (EEZ) extending from state waters (three miles in the south Atlantic) to 200 nautical miles. The 1996 Sustainable Fisheries Act (SFA) was passed by Congress to protect marine fish stocks with requirements to prevent and stop overfishing, minimize bycatch, and protect habitat. This data set geographically represents prohibitions on the use of black sea bass pots within the EEZ."
Sargassum Restrictions,Sargassum Restrictions,Fishery Restrictions,,,Habitat,Jurisdictions and Boundaries,,http://ocean.floridamarine.org/efh_coral/zip/sargassum_rules.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,21,,,http://ocean.floridamarine.org/efh_coral/metadata/sargassum.htm,,http://atoll.floridamarine.org/KMZ_files/Bounds%20--%20Sargassum%20Restrictions%20-%20SE%20US.kmz,"RESTRICT,AREA_MILE2","Restrictions,Squae Miles",Geographical representation of prohibitions on the harvesting of sargassum (an abundant brown algae that occurs near the surface in warm waters of the western North Atlantic) within the Exclusive Economic Zone. Data provide by the South Atlantic Fishery Marine Council (SAFMC).,"The South Atlantic Fishery Management Council's (SAFMC) role is to develop fishery management plans needed to manage fishery resources within the Exclusive Economic Zone (EEZ) extending from state waters (three miles in the south Atlantic) to 200 nautical miles. The 1996 Sustainable Fisheries Act (SFA) was passed by Congress to protect marine fish stocks with requirements to prevent and stop overfishing, minimize bycatch, and protect habitat. This data set geographically represent prohibitions on the harvesting of sargassum (an abundant brown algae that occurs near the surface in warm waters of the western North Atlantic) within the  EEZ."
Fish Traps Restrictions,Fish Traps Restrictions,Fishery Restrictions,,,Habitat,Jurisdictions and Boundaries,,http://ocean.floridamarine.org/efh_coral/zip/FishTraps.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,22,,,http://ocean.floridamarine.org/efh_coral/ims/dbGroupTOC/metadata/fish%20traps.htm,,http://atoll.floridamarine.org/KMZ_files/Bounds%20--%20Fish%20Traps%20Restrictions%20-%20SE%20US.kmz,"RESTRICT,AREA_MILE2","Restrictions,Square Miles",Geographical represention of prohibitions on the use of fish traps and roller rig trawls (to fish for and retain snapper grouper species) within the Exclusive Economic Zone. Data provide by the South Atlantic Fishery Marine Council (SAFMC).,"The South Atlantic Fishery Management Council's (SAFMC) role is to develop fishery management plans needed to manage fishery resources within the Exclusive Economic Zone (EEZ) extending from state waters (three miles in the south Atlantic) to 200 nautical miles. The 1996 Sustainable Fisheries Act (SFA) was passed by Congress to protect marine fish stocks with requirements to prevent and stop overfishing, minimize bycatch, and protect habitat. This data set geographically represents prohibitions on the use of fish traps (to fish for and retain snapper grouper species) within the EEZ."
Roller Rig Trawls Restrictions,Roller Rig Trawls Restrictions,Fishery Restrictions,,,Habitat,Jurisdictions and Boundaries,,http://ocean.floridamarine.org/efh_coral/zip/RollerRig.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,23,,,http://ocean.floridamarine.org/efh_coral/metadata/roller%20rig%20trawls.htm,,http://atoll.floridamarine.org/KMZ_files/Bounds%20--%20Roller%20Rig%20Trawls%20Restrictions%20-%20SE%20US.kmz,"RESTRICT,AREA_MILE2","Restrictions,Square Miles",Geographical represention of prohibitions on the use of fish traps and roller rig trawls (to fish for and retain snapper grouper species) within the Exclusive Economic Zone. Data provide by the South Atlantic Fishery Marine Council (SAFMC).,"The South Atlantic Fishery Management Council's (SAFMC) role is to develop fishery management plans needed to manage fishery resources within the Exclusive Economic Zone (EEZ) extending from state waters (three miles in the south Atlantic) to 200 nautical miles. The 1996 Sustainable Fisheries Act (SFA) was passed by Congress to protect marine fish stocks with requirements to prevent and stop overfishing, minimize bycatch, and protect habitat. This data set geographically represents prohibitions on the use of fish traps and roller rig trawls (to fish for and retain snapper grouper species) within the EEZ."
Octocoral Gear Restrictions,Octocoral Gear Restrictions,Fishery Restrictions,,,Habitat,Jurisdictions and Boundaries,,http://ocean.floridamarine.org/efh_coral/zip/Octocorals.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,24,,,http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx,,http://atoll.floridamarine.org/KMZ_files/Bounds%20--%20Octocoral%20Harvest%20Prohibition%20-%20SE%20US.kmz,"RESTRICT,AREA_MILE2","Restrictions,Square Miles",Geographical represention of prohibitions on octocoral harvests within the Exclusive Economic Zone. Data provide by the South Atlantic Fishery Marine Council (SAFMC).,"The South Atlantic Fishery Management Council's (SAFMC) role is to develop fishery management plans needed to manage fishery resources within the Exclusive Economic Zone (EEZ) extending from state waters (three miles in the south Atlantic) to 200 nautical miles. The 1996 Sustainable Fisheries Act (SFA) was passed by Congress to protect marine fish stocks with requirements to prevent and stop overfishing, minimize bycatch, and protect habitat. This data set geographically represents prohibitions on octocoral harvests within the EEZ."
Deepwater Snapper Grouper MPAs,Deepwater Snapper Grouper MPA,,South Atlantic Fishery Management Council,http://www.safmc.net/,Habitat,Jurisdictions and Boundaries,,http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,8,,,http://ocean.floridamarine.org/efh_coral/metadata/Snapper%20Grouper%20EFH.htm,,,"NAME,AREA_MILE2,DATA_SRC,IMAGE_LINK,VIDEO_LINK","NAME,Square Miles,Data Source,Image Link,Video Link",This dataset represents the Essential Fish Habitat (EFH) of the Snapper Grouper as described in the Final Habitat Plan for the South Atlantic. ,"NEED to REVISE: Marine Protected Areas (MPAs), as defined in Presidential Executive Order 13158, means any area of the marine environment that has been reserved by federal, state, territorial, tribal, or local laws or regulations to provide lasting protection for all or part of the natural and cultural resources therein. The South Atlantic Fishery Management Council (SAFMC) further defines marine protected areas within its jurisdiction as a network of specific areas of marine environments reserved and managed for the primary purpose of aiding in the recovery of overfished stocks and to insure the persistence of healthy fish stocks, fisheries, and habitats. Such areas may be over natural or artificial bottom and may include prohibition of harvest on a permanent or lesser time period to accomplish needed conservation goals. The SAFMC proposes nine management actions to amend the current Snapper Grouper Fishery Management Plan (FMP). The primary purpose of these actions is to employ a collaborative approach to identify Marine Protected Area (MPA) sites with the potential to protect a portion of the population and habitat of slow growing, long-lived deepwater snapper grouper species (speckled hind, snowy grouper, Warsaw grouper, yellowedge grouper, misty grouper, golden tilefish, and blueline tilefish) from directed fishing pressure to achieve a more natural sex ratio, age, and size structure within the proposed MPAs, while minimizing adverse social and economic impacts. Eight of the actions would establish Type 2 Marine Protected Areas (MPAs); one off southern North Carolina, three off South Carolina, one off Georgia, and three off Florida. The MPAs are intended NEED to REVISE: to be used in concert with traditional management measures to enhance the optimum size, age, and genetic structure of slow growing, long-lived deepwater snapper grouper species. For the purposes of Amendment 14, the Council is proposing ""Type 2"" MPAs where no person may fish for a South Atlantic snapper grouper in an MPA and no person may possess a South Atlantic snapper grouper in an MPA. However, the prohibition on possession does not apply to a person aboard a vessel that is in transit with fishing gear appropriately stowed. The ninth action would prohibit use of shark bottom longlines in the Type 2 MPAs to protect deepwater species and their habitat. More information is available at <http://www.safmc.net/MPAInformationPage/tabid/469/Default.aspx>"
Golden Crab Fishery Access Areas,Golden Crab Fishery Access Areas,Coral Habitat MPA,,,Habitat,Jurisdictions and Boundaries,,,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,11,,,"http://ocean.floridamarine.org/efh_coral/metadata/coral,%20coral%20reefs,%20live%20or%20hard%20bottom%20efh.htm",,,"NAME,Perimeter,Area,SQ_MILES","NAME,Perimeter,Area,SQ_MILES",,
